"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent"
"Bin97",0.00227160508359962,"e0504fe1a01bb7152b028aaa79f8627c576c1ce0",0.985119145314756,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","Uncultured_Vicinamibacterales","Bacteria",1,"Acidobacteriota",1,"Vicinamibacteria",1,"Vicinamibacterales",1,"uncultured",0.985119145314756,"Uncultured_Vicinamibacterales",0.985119145314756
"Bin98",2.9432250413758e-06,"ee7f188548cacdc1f4537b6deb96fb3e4ad0e820",0.61168364379353,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Uncultured_Vicinamibacteraceae","Bacteria",1,"Acidobacteriota",1,"Vicinamibacteria",1,"Vicinamibacterales",1,"Vicinamibacteraceae",1,"Uncultured_Vicinamibacteraceae",0.61168364379353
"Bin99",0.000302243069620658,"21789252556f215084a0fff1f8b1adccd0d838ae",0.789245802083578,"Bacteria","Nitrospinota","P9X2b3D02","P9X2b3D02","P9X2b3D02","P9X2b3D02","Bacteria",1,"Nitrospinota",0.789245802083578,"P9X2b3D02",0.789245802083578,"P9X2b3D02",0.789245802083578,"P9X2b3D02",0.789245802083578,"P9X2b3D02",0.789245802083578
"Bin100",8.42411346790942e-05,"b7e44c9f9dbcf5fe51d9889752d9423022666bdb",0.751256196577794,"Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","Bacteria",1,"Nitrospinota",0.838034927401174,"Nitrospinia",0.838034927401174,"Nitrospinales",0.838034927401174,"Nitrospinaceae",0.838034927401174,"Nitrospina",0.751256196577794
"Bin101",0.0015471131257617,"d0eec566f90983ff26b2471543e3190b737f877a",0.798209619284402,"Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Bacteria",1,"Latescibacterota",1,"Latescibacterota",0.798209619284402,"Latescibacterota",0.798209619284402,"Latescibacterota",0.798209619284402,"Latescibacterota",0.798209619284402
"Bin102",0.00040770045552609,"69748e6d3b668e18f703bf98d18487bc10bd8507",0.921794853780493,"Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Bacteria",1,"Zixibacteria",0.921794853780493,"Zixibacteria",0.921794853780493,"Zixibacteria",0.921794853780493,"Zixibacteria",0.921794853780493,"Zixibacteria",0.921794853780493
"Bin103",0.00205209421257432,"34da7ef8f44e3bf30af63ac70f41eeb87f46b223",0.940352468414306,"Bacteria","PAUC34f","PAUC34f","PAUC34f","PAUC34f","PAUC34f","Bacteria",1,"PAUC34f",0.940352468414306,"PAUC34f",0.940352468414306,"PAUC34f",0.940352468414306,"PAUC34f",0.940352468414306,"PAUC34f",0.940352468414306
"Bin104",0.00126490449730828,"6c1135c63723a5b67b158d6ea4c177b2a51c1e57",0.620398140856927,"Bacteria","Cyanobacteria","Vampirivibrionia","Caenarcaniphilales","Caenarcaniphilales","Caenarcaniphilales","Bacteria",1,"Cyanobacteria",1,"Vampirivibrionia",1,"Caenarcaniphilales",0.620398140856927,"Caenarcaniphilales",0.620398140856927,"Caenarcaniphilales",0.620398140856927
"Bin105",0.000370499735585381,"e4e62365d24d0b9231c8bf81442c425379816f54",0.645007951143165,"Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia","Sericytochromatia","Sericytochromatia","Bacteria",1,"Cyanobacteria",1,"Sericytochromatia",0.645007951143165,"Sericytochromatia",0.645007951143165,"Sericytochromatia",0.645007951143165,"Sericytochromatia",0.645007951143165
"Bin106",0.000449109818067225,"59f887dec6e8ac1c9d5411c54d195dd24cc8ef8a",0.654037951703283,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Synechococcales",1,"Cyanobiaceae",1,"Synechococcus_CC9902",0.654037951703283
